systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
778275629699,784101257000,1422575160679338496,784101257000,679347000,25,2,2,23,45,42,680,25,2,2,23,45,42,600,6,3,32.865937,-117.254199,-24.596000,-2455715.225110,-4767207.453445,3441466.413077,12.209167,13.254538,23.605362,-57.257092,-0.405403,-2.508001,-0.020904,0.007381,-0.479079,0.877492,133,32.865934,-117.254203,-29.633820,-2455713.749406,-4767203.810349,3441463.443546,3.671122
778300941958,784126257000,1422575160704338432,784126257000,704347000,25,2,2,23,45,42,705,25,2,2,23,45,42,600,6,3,32.865937,-117.254199,-24.596000,-2455715.225110,-4767207.453445,3441466.413077,12.209167,13.254538,23.605362,-57.257786,-0.400429,-2.512391,-0.020916,0.007438,-0.479084,0.877488,133,32.865934,-117.254203,-29.661248,-2455713.743162,-4767203.789536,3441463.426068,3.672748
778326314866,784151257000,1422575160729338368,784151257000,729347000,25,2,2,23,45,42,730,25,2,2,23,45,42,600,6,3,32.865937,-117.254199,-24.596000,-2455715.225110,-4767207.453445,3441466.413077,12.209167,13.254538,23.605362,-57.259090,-0.402057,-2.512607,-0.020925,0.007426,-0.479094,0.877483,32901,32.865934,-117.254203,-29.688760,-2455713.736977,-4767203.768669,3441463.408467,3.674387
778350766718,784176261000,1422575160754342400,784176261000,754351000,25,2,2,23,45,42,755,25,2,2,23,45,42,600,6,3,32.865937,-117.254199,-24.596000,-2455715.225110,-4767207.453445,3441466.413077,12.209167,13.254538,23.605362,-57.260014,-0.402985,-2.512127,-0.020925,0.007417,-0.479101,0.877479,32901,32.865934,-117.254203,-29.716313,-2455713.730770,-4767203.747758,3441463.390867,3.676039
778375632069,784201257000,1422575160779338240,784201257000,779347000,25,2,2,23,45,42,780,25,2,2,23,45,42,600,6,3,32.865937,-117.254199,-24.596000,-2455715.225110,-4767207.453445,3441466.413077,12.209167,13.254538,23.605362,-57.260384,-0.396942,-2.517029,-0.020937,0.007484,-0.479103,0.877477,133,32.865934,-117.254203,-29.743866,-2455713.724668,-4767203.726799,3441463.373257,3.677705
778400393440,784226257000,1422575160804338432,784226257000,804347000,25,2,2,23,45,42,805,25,2,2,23,45,42,600,6,3,32.865937,-117.254199,-24.596000,-2455715.225110,-4767207.453445,3441466.413077,12.209167,13.254538,23.605362,-57.261265,-0.396255,-2.518177,-0.020943,0.007494,-0.479109,0.877473,133,32.865934,-117.254203,-29.771582,-2455713.718373,-4767203.705772,3441463.355579,3.679384
778425714532,784251257000,1422575160829338368,784251257000,829347000,25,2,2,23,45,42,830,25,2,2,23,45,42,600,6,3,32.865937,-117.254199,-24.596000,-2455715.225110,-4767207.453445,3441466.413077,12.209167,13.254538,23.605362,-57.261593,-0.395989,-2.518043,-0.020941,0.007496,-0.479112,0.877472,32901,32.865934,-117.254203,-29.799276,-2455713.712134,-4767203.684726,3441463.337925,3.681076
778451030366,784276257000,1422575160854338304,784276257000,854347000,25,2,2,23,45,42,855,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.261749,-0.395216,-2.518746,-0.020943,0.007505,-0.479113,0.877471,32901,32.865933,-117.254203,-29.617082,-2455713.761000,-4767203.859349,3441463.398750,3.656708
778475406495,784301257000,1422575160879338240,784301257000,879347000,25,2,2,23,45,42,880,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.262703,-0.389541,-2.524167,-0.020961,0.007571,-0.479119,0.877467,133,32.865933,-117.254203,-29.644165,-2455713.754728,-4767203.839225,3441463.380979,3.658652
778500623866,784326260000,1422575160904341504,784326260000,904350000,25,2,2,23,45,42,905,25,2,2,23,45,42,800,6,3,32.865938,-117.254199,-24.630000,-2455715.195110,-4767207.423445,3441466.403077,12.278020,13.282843,23.635313,-57.263943,-0.387545,-2.526269,-0.020968,0.007595,-0.479128,0.877462,133,32.865933,-117.254203,-29.671429,-2455713.748468,-4767203.818890,3441463.363157,3.660287
